,0,1,2,3,4,5,6,7,8
66,《怦然星动》,2015.12.3,欢瑞世纪，嘉行传媒，青春光线,陈国辉,杨幂，李易峰，陈数，王耀庆，迪丽热巴，张云龙,都市，爱情，喜剧,票房（万）15973.9 ,4.3 ,
67,《怦然星动》,2015.12.3,欢瑞世纪，嘉行传媒，青春光线,陈国辉,杨幂，李易峰，陈数，王耀庆，迪丽热巴，张云龙,都市，爱情，喜剧,票房（万）15973.9 ,4.3 ,
68,《闯入者》,2015.4.30,冬春文化、银润传媒、合润传媒、安乐电影、引力影视投资、重庆电影集团,王小帅,吕中，秦海璐，冯远征，秦昊，石榴,剧情、犯罪,票房（万）1003.6 ,7.6 ,
69,《百团大战》,2015.8.28,八一电影制片厂；中国电影股份有限公司；北京紫禁城影业公司,宁海强，张玉中,陶泽如，刘之冰，印小天，吴越，唐国强，王伍福,战争/历史,票房（万）41367.3 ,4.7 ,
70,《万物生长》,2015.4.17,北京劳雷影业、杭州果麦文化传媒、北京联瑞影业,李玉,范冰冰，韩庚，沙溢，吴莫愁，杨迪，齐溪，张博宇，沈婷婷，李梦，雷恪生，吕行,爱情、剧情、校园、喜剧,票房（万）14831.8 ,5.8 ,
71,《一路惊喜》,2015.2.6,万达影视传媒有限公司,金依萌/潘安子/章家瑞/宋迪,郭采洁，萧敬腾，赵丽颖，凤小岳，夏雨，梅婷，蓝燕，林家栋，张译，大鹏，蒋劲夫，孙艺洲，张辛苑，阚清子，刘维，乔杉,喜剧/爱情/家庭,票房（万）6974.6 ,5.0 ,
72,《最美的时候遇见你》,2015.12.11,广州遐迩文化传播有限公司,吴娜,谭松韵，罗云熙,校园，爱情，喜剧,票房（万）156.2 ,5.5 ,
73,《爱之初体验》,2015.8.7,上海锦瑟天下影视有限公司,海涛,张超，李晓峰，张瑶，吴大维，屈菁菁，刘雅瑟，乔曦,喜剧/爱情,票房（万）321.7 ,4.7 ,
74,《少年班》,2015.6.19,工夫影业；华谊兄弟,肖洋,孙红雷，周冬雨，董子健，王栎鑫，李佳奇，夏天，王森,青春、校园、喜剧,票房（万）5068.7 ,5.7 ,
75,《爱之初体验》,2015.8.7,上海锦瑟天下影视有限公司,海涛,张超，李晓峰，张瑶，吴大维，屈菁菁，刘雅瑟，乔曦,喜剧/爱情,票房（万）321.7 ,4.7 ,
76,《紫霞》,2015.12.11,映代码公司,苗述,徐洁儿，袁晓超，刘承俊，洪天照，刘永健，谭赫，肖红，金晶，谢沅江,爱情，奇幻,票房（万）49.1 ,2.4 ,
77,《一念天堂》,2015.12.31,天河盛宴，凯德盛世（北京）投资管理有限公司，和云筹(北京)网络科技有限公司,张承,沈腾，马丽，林雪，杜晓宇，王子子，李元鹏,喜剧,票房（万）8279.5 ,5.2 ,
78,《一路惊喜》,2015.2.6,万达影视传媒有限公司,金依萌/潘安子/章家瑞/宋迪,郭采洁，萧敬腾，赵丽颖，凤小岳，夏雨，梅婷，蓝燕，林家栋，张译，大鹏，蒋劲夫，孙艺洲，张辛苑，阚清子，刘维，乔杉,喜剧/爱情/家庭,票房（万）6974.6 ,5.0 ,
79,《探灵档案》,2015.3.7,壹马时代文化传媒（北京）有限公司、北京盛唐时代文化传播有限公司,彭发,马浴柯，吴昕，潘粤明，王景春，莫小棋，朱雨辰，洪天明，陈国坤，刘颖仪,悬疑，惊悚,票房（万）334.1 ,5.6 ,
80,《爱之初体验》,2015.8.7,上海锦瑟天下影视有限公司,海涛,张超，李晓峰，张瑶，吴大维，屈菁菁，刘雅瑟，乔曦,喜剧/爱情,票房（万）321.7 ,4.7 ,
81,《坏蛋必须死》,2015.11.27,北京新力量、华谊兄弟、南京大道行知,孙皓,陈柏霖，孙艺珍，乔振宇，申贤俊，张光，杨旭文，丁文博，朴哲民,喜剧，悬疑，旅行，爱情,票房（万）4705.4 ,6.0 ,
82,《爱之初体验》,2015.8.7,上海锦瑟天下影视有限公司,海涛,张超，李晓峰，张瑶，吴大维，屈菁菁，刘雅瑟，乔曦,喜剧/爱情,票房（万）321.7 ,4.7 ,
83,《分手再说我爱你》,2015.12.24,爱奇艺影业（北京）有限公司、太阳娱乐文化有限公司、无限动力实业有限公司,叶念琛,方力申，邓丽欣,爱情、剧情,票房（万）1273.2 ,6.5 ,
84,《前任2：备胎反击战》,2015.11.6,华谊兄弟传媒股份有限公司、新圣堂影业,田羽生,郑恺，郭采洁，张艺兴，王传君,爱情，喜剧,票房（万）25200.2 ,5.0 ,
85,《探灵档案》,2015.3.7,壹马时代文化传媒（北京）有限公司、北京盛唐时代文化传播有限公司,彭发,马浴柯，吴昕，潘粤明，王景春，莫小棋，朱雨辰，洪天明，陈国坤，刘颖仪,悬疑，惊悚,票房（万）334.1 ,5.6 ,
86,《一念天堂》,2015.12.31,天河盛宴，凯德盛世（北京）投资管理有限公司，和云筹(北京)网络科技有限公司,张承,沈腾，马丽，林雪，杜晓宇，王子子，李元鹏,喜剧,票房（万）8279.5 ,5.2 ,
87,《百团大战》,2015.8.28,八一电影制片厂；中国电影股份有限公司；北京紫禁城影业公司,宁海强，张玉中,陶泽如，刘之冰，印小天，吴越，唐国强，王伍福,战争/历史,票房（万）41367.3 ,4.7 ,
88,《恶棍天使》,2015.12.24,天津橙子映像传媒有限公司、北京光线影业有限公司,邓超、俞白眉,邓超，孙俪，梁超，代乐乐,喜剧/荒诞/爱情,票房（万）64959.0 ,4.0 ,
89,《破风》,2015.8.7,恒大影视文化有限公司,林超贤,彭于晏，窦骁，崔始源，王珞丹，陈家乐，欧阳娜娜，连凯,剧情、运动、爱情,票房（万）14529.1 ,7.2 ,
90,《破风》,2015.8.7,恒大影视文化有限公司,林超贤,彭于晏，窦骁，崔始源，王珞丹，陈家乐，欧阳娜娜，连凯,剧情、运动、爱情,票房（万）14529.1 ,7.2 ,
91,《恶棍天使》,2015.12.24,天津橙子映像传媒有限公司、北京光线影业有限公司,邓超、俞白眉,邓超，孙俪，梁超，代乐乐,喜剧/荒诞/爱情,票房（万）64959.0 ,4.0 ,
92,《一路惊喜》,2015.2.6,万达影视传媒有限公司,金依萌/潘安子/章家瑞/宋迪,郭采洁，萧敬腾，赵丽颖，凤小岳，夏雨，梅婷，蓝燕，林家栋，张译，大鹏，蒋劲夫，孙艺洲，张辛苑，阚清子，刘维，乔杉,喜剧/爱情/家庭,票房（万）6974.6 ,5.0 ,
93,《分手再说我爱你》,2015.12.24,爱奇艺影业（北京）有限公司、太阳娱乐文化有限公司、无限动力实业有限公司,叶念琛,方力申，邓丽欣,爱情、剧情,票房（万）1273.2 ,6.5 ,
94,《少年班》,2015.6.19,工夫影业；华谊兄弟,肖洋,孙红雷，周冬雨，董子健，王栎鑫，李佳奇，夏天，王森,青春、校园、喜剧,票房（万）5068.7 ,5.7 ,
95,《一念天堂》,2015.12.31,天河盛宴，凯德盛世（北京）投资管理有限公司，和云筹(北京)网络科技有限公司,张承,沈腾，马丽，林雪，杜晓宇，王子子，李元鹏,喜剧,票房（万）8279.5 ,5.2 ,
96,《爱之初体验》,2015.8.7,上海锦瑟天下影视有限公司,海涛,张超，李晓峰，张瑶，吴大维，屈菁菁，刘雅瑟，乔曦,喜剧/爱情,票房（万）321.7 ,4.7 ,
97,《爱之初体验》,2015.8.7,上海锦瑟天下影视有限公司,海涛,张超，李晓峰，张瑶，吴大维，屈菁菁，刘雅瑟，乔曦,喜剧/爱情,票房（万）321.7 ,4.7 ,
98,《将错就错》,2015.3.5,中国电影股份有限公司等,王宁,小沈阳，田亮，陈小春，熊黛林,爱情、喜剧,票房（万）3937.4 ,3.8 ,
99,《闯入者》,2015.4.30,冬春文化、银润传媒、合润传媒、安乐电影、引力影视投资、重庆电影集团,王小帅,吕中，秦海璐，冯远征，秦昊，石榴,剧情、犯罪,票房（万）1003.6 ,7.6 ,
100,《紫霞》,2015.12.11,映代码公司,苗述,徐洁儿，袁晓超，刘承俊，洪天照，刘永健，谭赫，肖红，金晶，谢沅江,爱情，奇幻,票房（万）49.1 ,2.4 ,
101,《百团大战》,2015.8.28,八一电影制片厂；中国电影股份有限公司；北京紫禁城影业公司,宁海强，张玉中,陶泽如，刘之冰，印小天，吴越，唐国强，王伍福,战争/历史,票房（万）41367.3 ,4.7 ,
102,《坏蛋必须死》,2015.11.27,北京新力量、华谊兄弟、南京大道行知,孙皓,陈柏霖，孙艺珍，乔振宇，申贤俊，张光，杨旭文，丁文博，朴哲民,喜剧，悬疑，旅行，爱情,票房（万）4705.4 ,6.0 ,
103,《前任2：备胎反击战》,2015.11.6,华谊兄弟传媒股份有限公司、新圣堂影业,田羽生,郑恺，郭采洁，张艺兴，王传君,爱情，喜剧,票房（万）25200.2 ,5.0 ,
104,《失孤》,2015.3.20,华谊兄弟传媒集团、源合圣影视、映艺娱乐,彭三源,刘德华，井柏然，梁家辉，吴君如,剧情、社会,票房（万）21617.9 ,6.4 ,
105,《坏蛋必须死》,2015.11.27,北京新力量、华谊兄弟、南京大道行知,孙皓,陈柏霖，孙艺珍，乔振宇，申贤俊，张光，杨旭文，丁文博，朴哲民,喜剧，悬疑，旅行，爱情,票房（万）4705.4 ,6.0 ,
106,《破风》,2015.8.7,恒大影视文化有限公司,林超贤,彭于晏，窦骁，崔始源，王珞丹，陈家乐，欧阳娜娜，连凯,剧情、运动、爱情,票房（万）14529.1 ,7.2 ,
107,《怦然星动》,2015.12.3,欢瑞世纪，嘉行传媒，青春光线,陈国辉,杨幂，李易峰，陈数，王耀庆，迪丽热巴，张云龙,都市，爱情，喜剧,票房（万）15973.9 ,4.3 ,
108,《闯入者》,2015.4.30,冬春文化、银润传媒、合润传媒、安乐电影、引力影视投资、重庆电影集团,王小帅,吕中，秦海璐，冯远征，秦昊，石榴,剧情、犯罪,票房（万）1003.6 ,7.6 ,
109,《少年班》,2015.6.19,工夫影业；华谊兄弟,肖洋,孙红雷，周冬雨，董子健，王栎鑫，李佳奇，夏天，王森,青春、校园、喜剧,票房（万）5068.7 ,5.7 ,
110,《少年班》,2015.6.19,工夫影业；华谊兄弟,肖洋,孙红雷，周冬雨，董子健，王栎鑫，李佳奇，夏天，王森,青春、校园、喜剧,票房（万）5068.7 ,5.7 ,
111,《百团大战》,2015.8.28,八一电影制片厂；中国电影股份有限公司；北京紫禁城影业公司,宁海强，张玉中,陶泽如，刘之冰，印小天，吴越，唐国强，王伍福,战争/历史,票房（万）41367.3 ,4.7 ,
112,《闯入者》,2015.4.30,冬春文化、银润传媒、合润传媒、安乐电影、引力影视投资、重庆电影集团,王小帅,吕中，秦海璐，冯远征，秦昊，石榴,剧情、犯罪,票房（万）1003.6 ,7.6 ,
113,《闯入者》,2015.4.30,冬春文化、银润传媒、合润传媒、安乐电影、引力影视投资、重庆电影集团,王小帅,吕中，秦海璐，冯远征，秦昊，石榴,剧情、犯罪,票房（万）1003.6 ,7.6 ,
114,《失孤》,2015.3.20,华谊兄弟传媒集团、源合圣影视、映艺娱乐,彭三源,刘德华，井柏然，梁家辉，吴君如,剧情、社会,票房（万）21617.9 ,6.4 ,
115,《恶棍天使》,2015.12.24,天津橙子映像传媒有限公司、北京光线影业有限公司,邓超、俞白眉,邓超，孙俪，梁超，代乐乐,喜剧/荒诞/爱情,票房（万）64959.0 ,4.0 ,
116,《百团大战》,2015.8.28,八一电影制片厂；中国电影股份有限公司；北京紫禁城影业公司,宁海强，张玉中,陶泽如，刘之冰，印小天，吴越，唐国强，王伍福,战争/历史,票房（万）41367.3 ,4.7 ,
117,《少年班》,2015.6.19,工夫影业；华谊兄弟,肖洋,孙红雷，周冬雨，董子健，王栎鑫，李佳奇，夏天，王森,青春、校园、喜剧,票房（万）5068.7 ,5.7 ,
118,《破风》,2015.8.7,恒大影视文化有限公司,林超贤,彭于晏，窦骁，崔始源，王珞丹，陈家乐，欧阳娜娜，连凯,剧情、运动、爱情,票房（万）14529.1 ,7.2 ,
119,《破风》,2015.8.7,恒大影视文化有限公司,林超贤,彭于晏，窦骁，崔始源，王珞丹，陈家乐，欧阳娜娜，连凯,剧情、运动、爱情,票房（万）14529.1 ,7.2 ,
120,《怦然星动》,2015.12.3,欢瑞世纪，嘉行传媒，青春光线,陈国辉,杨幂，李易峰，陈数，王耀庆，迪丽热巴，张云龙,都市，爱情，喜剧,票房（万）15973.9 ,4.3 ,
121,《爱情魔发师》,2015.7.17,北京仁和博纳文化传媒有限公司,倾海,游游，张燃，朱咪咪，黄一飞，崔浩博，王子轩,喜剧 / 爱情,票房（万）20.3 ,3.8 ,
122,《恶棍天使》,2015.12.24,天津橙子映像传媒有限公司、北京光线影业有限公司,邓超、俞白眉,邓超，孙俪，梁超，代乐乐,喜剧/荒诞/爱情,票房（万）64959.0 ,4.0 ,
123,《爱之初体验》,2015.8.7,上海锦瑟天下影视有限公司,海涛,张超，李晓峰，张瑶，吴大维，屈菁菁，刘雅瑟，乔曦,喜剧/爱情,票房（万）321.7 ,4.7 ,
124,《恶棍天使》,2015.12.24,天津橙子映像传媒有限公司、北京光线影业有限公司,邓超、俞白眉,邓超，孙俪，梁超，代乐乐,喜剧/荒诞/爱情,票房（万）64959.0 ,4.0 ,
125,《浪漫天降》,2015.10.23,,宁瀛,夏雨，关晓彤，邱泽,浪漫，爱情，喜剧,票房（万）785.2 ,4.1 ,
126,《恶棍天使》,2015.12.24,天津橙子映像传媒有限公司、北京光线影业有限公司,邓超、俞白眉,邓超，孙俪，梁超，代乐乐,喜剧/荒诞/爱情,票房（万）64959.0 ,4.0 ,
